invoiceDate,invoiceNumber,purchaseDealer,receivedDate,manufactureDate,model,grade,fuelType,suffix,exteriorColor,interiorColor,chassisNumber,engineNumber,keyNumber,location,invoiceValue,age,interest,vehicleStatus
21/05/25,6935002740,Anant Gwalior,24/05/25,1905,INNOVA HYCROSS,ZX,HYBRID,INNYB,SUPER WHITE,BROWN,MBJABBAA801505059~0525,M20A NE13035,89140,Gwalior,2919576.91,24,24956.38345,BOOKED
26/05/25,6935002926,Anant Gwalior,31/05/25,1905,INNOVA HYCROSS,ZX (O),HYBRID,INNYA,SUPER WHITE,BROWN,MBJABBAA901505782~0525,M20A NE15480,88444,Gwalior,2980373.7,19,20168.55627,FREE
23/05/25,6935002846,Anant Gwalior,26/05/25,1905,INNOVA HYCROSS,ZX (O),HYBRID,INNYA,PLATINUM WHITE PEARL,BROWN,MBJABBAAX01505628~0525,M20A NE14651,83369,Gwalior,2990348.2,22,23431.22151,BOOKED
07/06/25,6935003367,Anant Indore,09/06/25,1905,INNOVA HYCROSS,ZX (O),HYBRID,INNYA,ATTITUDE BLACK,BROWN,MBJABBAA301505695~0525,M20A NE15172,84691,Gwalior,,7,,BOOKED
27/05/25,6935003006,Anant Gwalior,02/06/25,1905,INNOVA HYCROSS,ZX (O) LE,HYBRID,INNHZ,SUPERWHITE & A.BLACK,Black & Maroon,MBJABBAA801505675~0525,MBJABBAA801505675~0525,89273,Gwalior,3098167.5,18,19862.22452,FREE
08/05/24,2399002022,Anant Gwalior,05/10/24,1905,RUMION,G AT NEO DRIVE,PETROL,A15RF,CAFE WHITE,BEIGE,MA3DND72SRD790626,K15CN 9493060,4302,Shivpuri,1233227.54,402,176571.1541,FREE
06/10/24,2399003673,Anant Gwalior,10/11/24,1905,RUMION,G AT NEO DRIVE,PETROL,A15RJ,CAFE WHITE,BEIGE,MA3DND72SRJ895784,K15CN 1010644,1101,Gwalior,1233227.54,251,110247.1634,FREE
23/05/25,6935002851,Anant Gwalior,26/05/25,1905,RUMION,S MT CNG,CNG,A15R3,ENTICING SILVER,BEIGE,MA3DND62SSEA47492,K15CN 9798365,758,Ashok Nagar,1090688.3,22,8546.215173,FREE
03/05/25,6935001716,Anant Gwalior,09/05/25,1905,RUMION,S MT CNG,CNG,A15R3,CAFE WHITE,BEIGE,MA3DND62SSDA28007,K15CN 9777879,2474,Morena,1090688.26,42,16315.50109,BOOKED
21/05/25,6935000864,Anant Indore,23/05/25,1905,RUMION,S MT CNG,CNG,A15R3,CAFE WHITE,BEIGE,MA3DND62SSDA17632,K15CN 9766262,4443,Gwalior,,24,,BOOKED
24/05/25,6935001610,Anant Indore,24/05/25,1905,RUMION,S MT CNG,CNG,A15R3,CAFE WHITE,BEIGE,MA3DND62SSDA27630,K15CN 9777346,2472,Gwalior,,21,,BOOKED
24/05/25,6935001600,Anant Indore,24/05/25,1905,RUMION,S MT CNG,CNG,A15R3,CAFE WHITE,BEIGE,MA3DND62SSDA27932,K15CN 9776751,3298,Gwalior,,21,,BOOKED
10/04/25,6935000485,Anant Gwalior,15/04/25,1905,RUMION,S MT CNG,CNG,A15R3,SPUNKY BLUE,BEIGE,MA3DND62SSCA09374,K15CN 9757108,4049,Gwalior,1090688.26,65,25250.18027,BOOKED
22/01/25,6934002060,Anant Gwalior,26/01/25,1905,RUMION,V MT NEO DRIVE,PETROL,A15RI,CAFE WHITE,BEIGE,MA3DND72SSA956517,K15CN 1025240,3893,Gwalior,1169628,143,59570.91649,BOOKED
26/05/25,6935002753,Anant Indore,27/05/25,1905,URBAN CRUISER HYRYDER,E MT 2WD MHV,PETROL,D22BH,ENTICING SILVER,INTERIOR COLOR FOR D22,MBJUYML1SSE158466,K15CN 7717963,50737,Gwalior,,19,,BOOKED
